REF_DATE,GEO,DGUID,Census family structure (7),Family size of census family (4),Ages of census family members (18),Number of earners in the census family (5),Census family after-tax income groups (21),Year (2),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,1.1.3.7.1.9.1,42410,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,1.1.3.7.1.10.1,52785,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,1.1.3.7.1.11.1,63840,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,1.1.3.7.1.12.1,155140,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,1.1.3.7.1.13.1,179150,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,1.1.3.7.1.14.1,191635,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,1.1.3.7.1.15.1,192145,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,1.1.3.7.1.16.1,184720,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,1.1.3.7.1.17.1,971540,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,1.1.3.7.1.18.1,375935,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,1.1.3.7.1.19.1,246830,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,1.1.3.7.1.20.1,348775,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,1.1.3.7.1.21.1,94000,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,1.1.3.8.1.1.1,931955,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,1.1.3.8.1.2.1,2765,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,1.1.3.8.1.3.1,1125,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,1.1.3.8.1.4.1,1490,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,1.1.3.8.1.5.1,1965,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,1.1.3.8.1.6.1,2935,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,1.1.3.8.1.7.1,4260,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,1.1.3.8.1.8.1,6200,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,1.1.3.8.1.9.1,8960,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,1.1.3.8.1.10.1,11695,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,1.1.3.8.1.11.1,14960,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,1.1.3.8.1.12.1,41780,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,1.1.3.8.1.13.1,56680,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,1.1.3.8.1.14.1,69635,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,1.1.3.8.1.15.1,78565,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,1.1.3.8.1.16.1,82860,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,1.1.3.8.1.17.1,546070,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,1.1.3.8.1.18.1,191335,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,1.1.3.8.1.19.1,139685,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,1.1.3.8.1.20.1,215050,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,None,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,1.1.3.8.1.21.1,110000,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,1.1.3.9.1.1.1,1215870,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,1.1.3.9.1.2.1,11165,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,1.1.3.9.1.3.1,4725,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,1.1.3.9.1.4.1,6520,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,1.1.3.9.1.5.1,10000,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,1.1.3.9.1.6.1,13640,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,1.1.3.9.1.7.1,19695,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,1.1.3.9.1.8.1,27970,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,1.1.3.9.1.9.1,33445,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,1.1.3.9.1.10.1,41095,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,1.1.3.9.1.11.1,48880,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,1.1.3.9.1.12.1,113360,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$60,000 to $69,999",2020,,0,units,0,,1.1.3.9.1.13.1,122465,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$70,000 to $79,999",2020,,0,units,0,,1.1.3.9.1.14.1,122000,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$80,000 to $89,999",2020,,0,units,0,,1.1.3.9.1.15.1,113585,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$90,000 to $99,999",2020,,0,units,0,,1.1.3.9.1.16.1,101860,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$100,000 and over",2020,,0,units,0,,1.1.3.9.1.17.1,425465,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$100,000 to $124,999",2020,,0,units,0,,1.1.3.9.1.18.1,184600,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$125,000 to $149,999",2020,,0,units,0,,1.1.3.9.1.19.1,107145,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,"$150,000 and over",2020,,0,units,0,,1.1.3.9.1.20.1,133730,,,,0
2021,Canada,2021A000011124,Total - Census family structure,3 persons,1 person or more,Total - Number of earners in the census family,Median after-tax income of census family ($),2020,,0,units,0,,1.1.3.9.1.21.1,83000,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,Total - After-tax income of census family,2020,,0,units,0,,1.1.4.7.1.1.1,2808995,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"Under $5,000",2020,,0,units,0,,1.1.4.7.1.2.1,12635,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$5,000 to $9,999",2020,,0,units,0,,1.1.4.7.1.3.1,3800,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$10,000 to $14,999",2020,,0,units,0,,1.1.4.7.1.4.1,4745,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$15,000 to $19,999",2020,,0,units,0,,1.1.4.7.1.5.1,6745,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$20,000 to $24,999",2020,,0,units,0,,1.1.4.7.1.6.1,9400,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$25,000 to $29,999",2020,,0,units,0,,1.1.4.7.1.7.1,12010,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$30,000 to $34,999",2020,,0,units,0,,1.1.4.7.1.8.1,16465,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$35,000 to $39,999",2020,,0,units,0,,1.1.4.7.1.9.1,23040,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$40,000 to $44,999",2020,,0,units,0,,1.1.4.7.1.10.1,32015,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$45,000 to $49,999",2020,,0,units,0,,1.1.4.7.1.11.1,40685,,,,0
2021,Canada,2021A000011124,Total - Census family structure,4 or more persons,Total - Census families by number of persons aged 0 to 17 years,Total - Number of earners in the census family,"$50,000 to $59,999",2020,,0,units,0,,1.1.4.7.1.12.1,113575,,,,0
